"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_hash","data_path","dislike_threshold","end_sep","like_threshold","min_neg_ratings","min_pos_ratings","model_type","nb_neg","nb_pos","nb_test_users","offset","prompt_id","prompts","sep","users_seed","xp_name","ndcg_1","ndcg_1_std","ndcg_2","ndcg_2_std","ndcg_3","ndcg_3_std","ndcg_4","ndcg_4_std","ndcg_5","ndcg_5_std","pop_1","pop_1_std","precision_1","precision_1_std","precision_2","precision_2_std","precision_3","precision_3_std","precision_4","precision_4_std","precision_5","precision_5_std","recall_1","recall_1_std","recall_2","recall_2_std","recall_3","recall_3_std","recall_4","recall_4_std","recall_5","recall_5_std"
"jolly-hill-84","finished","-","","","2025-01-14T07:50:44.000Z","33","","1189607494227435000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","50","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.4","0.4898979485566356","0.5388045457857206","0.4441458986727515","0.6088045457857206","0.3897857653863532","0.6777127950774634","0.30489088684856736","0.7086610196562267","0.24904829305183052","5.855185274422277","5.552313495297497","0.4","0.4898979485566356","0.31","0.2426932219902319","0.25333333333333335","0.14236104336041747","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.4","0.4898979485566356","0.62","0.4853864439804639","0.76","0.4270831300812525","0.92","0.2712931993250107","1","0"
"fallen-terrain-83","finished","-","","","2025-01-14T07:50:10.000Z","32","","68162393271441160","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","50","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.4","0.4898979485566356","0.4757115704285749","0.4706030006633912","0.5557115704285749","0.4230287613919601","0.6418468820432534","0.3360025625187278","0.6882692189113985","0.2628863549953109","4.560421431412608","5.302063033478896","0.4","0.4898979485566356","0.26","0.24979991993593592","0.22666666666666663","0.155492050529208","0.22","0.08124038404635961","0.19999999999999996","5.551115123125783e-17","0.4","0.4898979485566356","0.52","0.49959983987187184","0.68","0.466476151587624","0.88","0.32496153618543844","1","0"
"fragrant-night-82","finished","-","","","2025-01-14T07:49:32.000Z","36","","1737416493581043700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","0","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.45880454578572055","0.4439305200518898","0.5388045457857206","0.3965672443707701","0.5990992639159957","0.33856094210178356","0.6609957130735223","0.24611566783608088","4.1585148962317815","4.7079701285087605","0.32","0.466476151587624","0.27","0.24919871588754228","0.2333333333333333","0.1527525231651947","0.21","0.09165151389911678","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.54","0.49839743177508455","0.7","0.458257569495584","0.84","0.36660605559646714","1","0"
"laced-water-81","finished","-","","","2025-01-14T07:48:56.000Z","34","","2081267029413055700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.28","0.44899888641287294","0.4314231408571498","0.4352142443429092","0.5414231408571498","0.3706728307961032","0.6103313901488926","0.29615895524661906","0.6490166708723468","0.23228732843215777","3.585096725352465","3.5774576619677108","0.28","0.44899888641287294","0.26","0.24979991993593592","0.24666666666666667","0.14621141466307536","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.28","0.44899888641287294","0.52","0.49959983987187184","0.74","0.4386342439892262","0.9","0.3","1","0"
"amber-night-80","finished","-","","","2025-01-14T07:48:19.000Z","35","","1899656654282543900","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","150","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.36","0.48","0.5114231408571498","0.4404358477029606","0.5814231408571499","0.3904926327369373","0.6589449213103604","0.2995259074047025","0.6898931458891238","0.24483470615857417","6.586858639415243","6.464566634749578","0.36","0.48","0.3","0.24494897427831783","0.24666666666666667","0.14621141466307536","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.36","0.48","0.6","0.48989794855663565","0.74","0.4386342439892262","0.92","0.2712931993250107","1","0"
"polished-wave-79","finished","-","","","2025-01-14T07:47:49.000Z","29","","1455423004949931300","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","150","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.4","0.4898979485566356","0.5009487605714331","0.4612395428761754","0.6209487605714332","0.3716372066619263","0.6726299475402403","0.30580779261419305","0.7035781721190036","0.2507979577796698","5.184347672361314","6.0501870193679945","0.4","0.4898979485566356","0.28","0.2481934729198171","0.26666666666666666","0.13333333333333333","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.4","0.4898979485566356","0.56","0.4963869458396342","0.8","0.4","0.92","0.2712931993250107","1","0"
"vocal-smoke-78","finished","-","","","2025-01-14T07:47:14.000Z","33","","1228785469200980000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","100","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.22","0.4142463035441597","0.4092789260714372","0.4146232830610614","0.5092789260714372","0.36063372227517154","0.5695736442017122","0.30162077462876385","0.623733037214548","0.21748112416741783","4.9017491114440865","4.711699449710098","0.22","0.4142463035441597","0.26","0.24979991993593592","0.24","0.14966629547095767","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.22","0.4142463035441597","0.52","0.49959983987187184","0.72","0.44899888641287294","0.86","0.3469870314579494","1","0"
"atomic-snow-77","finished","-","","","2025-01-14T07:46:40.000Z","33","","995789612313976400","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","100","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.4","0.4898979485566356","0.5261859507142915","0.4502697147924178","0.6161859507142915","0.3806958693375498","0.642026544198695","0.3514901494964912","0.7039229933562219","0.25333898868441185","4.984165128118856","5.030231590860183","0.4","0.4898979485566356","0.3","0.2449489742783178","0.26","0.13808210118138653","0.21","0.0916515138991168","0.19999999999999996","5.551115123125783e-17","0.4","0.4898979485566356","0.6","0.4898979485566356","0.78","0.41424630354415953","0.84","0.3666060555964672","1","0"
"olive-pine-76","finished","-","","","2025-01-14T07:46:00.000Z","39","","1283838753061316400","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","50","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.46","0.49839743177508455","0.5735673556428623","0.4501927501086256","0.6335673556428624","0.4003066694088721","0.7197026672575408","0.2842139229289858","0.7351767795469225","0.2534773951221835","5.279865985951335","5.07283423658777","0.46","0.49839743177508455","0.32","0.24","0.2533333333333333","0.14236104336041747","0.24","0.04898979485566357","0.19999999999999996","5.551115123125783e-17","0.46","0.49839743177508455","0.64","0.48","0.76","0.4270831300812525","0.96","0.19595917942265428","1","0"
"lively-sun-75","finished","-","","","2025-01-14T07:45:33.000Z","25","","1885939677042509800","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","50","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.36","0.48","0.5492789260714371","0.4215618193768627","0.6292789260714372","0.35132568847851225","0.6723465818787766","0.2931211520614678","0.7032948064575397","0.2351994020336524","4.806230797854064","5.435212914515203","0.36","0.48","0.33","0.2368543856465402","0.2733333333333333","0.12806248474865695","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.36","0.48","0.66","0.4737087712930804","0.82","0.3841874542459709","0.92","0.2712931993250107","1","0"
"prime-dew-74","finished","-","","","2025-01-14T07:45:07.000Z","24","","1557337628457249800","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","0","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.4","0.4898979485566356","0.5892789260714372","0.414936204097227","0.6592789260714373","0.34608236565970013","0.6851195195558408","0.3100998032352368","0.723804800279295","0.2379553835956084","5.855853234657173","5.915729034312265","0.4","0.4898979485566356","0.35","0.229128784747792","0.28","0.12220201853215572","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.4","0.4898979485566356","0.7","0.458257569495584","0.84","0.3666060555964672","0.9","0.3","1","0"
"vocal-universe-73","finished","-","","","2025-01-14T07:44:42.000Z","24","","159686959072766500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.36","0.48","0.5114231408571497","0.4404358477029606","0.5714231408571497","0.39876429007493586","0.6231043278259569","0.3457401297382954","0.6850007769834836","0.25002798106082846","6.633821382084031","6.568458133800121","0.36","0.48","0.3","0.2449489742783178","0.23999999999999996","0.14966629547095764","0.21","0.0916515138991168","0.19999999999999996","5.551115123125783e-17","0.36","0.48","0.6","0.4898979485566356","0.72","0.44899888641287294","0.84","0.3666060555964673","1","0"
"earthy-bird-72","finished","-","","","2025-01-14T07:44:18.000Z","23","","251333339275473120","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","150","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.44","0.4963869458396343","0.5535673556428623","0.453007954098029","0.6435673556428623","0.37745739158263514","0.6952485426116695","0.309096042399019","0.7261967671904327","0.25203484344385896","7.364261589720266","7.202305273291419","0.44","0.4963869458396343","0.31","0.2426932219902319","0.26666666666666666","0.13333333333333333","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.44","0.4963869458396343","0.62","0.4853864439804639","0.8","0.4","0.92","0.2712931993250107","1","0"
